location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Colombia,-0.008397085,0.016074332,0.005375367,0.016006815,0.03673799,-0.059700596,-0.084502051,-0.064135719,-0.022739728,-0.116459236,-0.223264411,-0.014113943
Comoros,-0.017682077,0.471358885,-0.029372522,0.016006815,-0.319757478,-0.240476508,-0.22843259,-0.16600886,0.188387233,-0.123292949,-0.075603592,-0.020152074
Cape Verde,-0.017486498,0.12989547,-0.029590408,0.016006815,-0.159636632,-0.182688436,-0.133202446,-0.124638092,-0.261446338,-0.175684748,-0.179404762,-0.020140188
Costa Rica,-0.017108281,0.016074332,-0.02643744,0.016006815,0.079034063,0.010633317,-0.007583256,-0.044605649,0.040978769,-0.077734862,-0.166246867,-0.020080757
Cuba,-0.016392835,0.056724739,-0.022107265,0.016006815,0.366043126,0.214068947,0.216438562,-0.03351965,0.016727699,0.166000901,0.358606934,-0.019224959
Curacao,-0.017682796,0.06485482,-0.029862681,0.016006815,0.323747054,0.27695256,0.235863063,-0.03351965,0.176023943,-0.063476057,-0.107999285,-0.020152074
Cayman Islands,-0.017633182,0.121765389,-0.029931033,0.016006815,-0.118357292,-0.058187857,-0.0524208,0.251161673,0.252105731,-0.063476057,-0.107999285,-0.020152074
Cyprus,-0.017043568,0.040464576,-0.029368143,0.016006815,0.19081654,0.163036328,0.152098383,0.100706634,0.062852283,0.222948509,0.349835004,-0.019961897
Czech Republic,-0.011748541,-0.024576074,-0.022536381,0.016006815,0.372085422,0.37963544,0.320017346,0.102347935,-0.052221421,0.471240081,0.139308688,-0.016716996
Germany,0.106152805,-0.300998839,0.028234139,0.016006815,0.471783307,0.473285314,0.563630637,0.210951329,0.018629744,0.418848282,0.063285297,0.071632265
Djibouti,-0.016782555,0.113635308,-0.029290256,0.016006815,-0.168700076,-0.192223275,-0.192032524,-0.154897456,-0.088835781,-0.184796365,-0.062445698,-0.020128302
Denmark,-0.010024278,-0.0570964,-0.025952427,0.016006815,0.341873942,0.404727121,0.361482253,0.223454364,-0.071717379,0.216114796,-0.145779031,-0.013828677
Dominican Republic,-0.009643905,-0.024576074,-0.022439862,0.016006815,-0.10223482,-0.085371316,-0.078546688,-0.052556326,0.013399121,-0.029898871,-0.141393066,-0.015302552
Algeria,-0.01319813,-0.065226481,0.000489832,0.016006815,-0.056917599,-0.115095307,-0.109826257,-0.058467038,-0.056501022,-0.207575409,0.023811612,-0.013959424
Ecuador,0.004226419,-0.032706156,-0.01771877,0.016006815,-0.087129079,-0.080623197,-0.076376042,-0.087132668,-0.11261134,-0.177962652,-0.240808271,0.007578159
Egypt,-0.010193972,-0.154657375,0.041122499,0.016006815,-0.171721224,-0.155705228,-0.163591493,-0.087405653,0.446589801,-0.21896493,0.311823308,-0.013555297
Spain,0.147354641,-0.268478513,0.002507273,0.016006815,0.438550679,0.395423898,0.443521548,0.116685073,-0.03557853,0.400625047,0.038431495,0.304575735
Estonia,-0.016435258,-0.048966318,-0.02905505,0.016006815,0.353958534,0.396041539,0.426379009,0.075465346,-0.18536455,0.334565821,0.153928571,-0.019438909
Ethiopia,-0.017505193,0.072984901,0.049896914,0.016006815,-0.337884366,-0.218743251,-0.209675981,-0.163289873,-0.021313195,-0.214409122,-0.296363826,-0.02010453
Finland,-0.01334122,-0.284738676,-0.026127152,0.016006815,0.356979682,0.464599733,0.413744735,0.171001323,-0.102625605,0.193335753,-0.090223475,-0.016788312
France,0.083499381,-0.325389082,0.015373588,0.016006815,0.332810498,0.406309827,0.40344808,0.153966199,-0.149701212,0.462128464,0.099835004,0.301639872
Gabon,-0.016972383,0.06485482,-0.028430318,0.016006815,-0.238186481,-0.183074462,-0.158860597,-0.035680347,-0.034151996,-0.063476057,-0.107999285,-0.020056985
United Kingdom,0.147473283,-0.276608595,0.017188677,0.016006815,0.296556721,0.359948121,0.372725088,0.163839206,-0.173001259,0.232060127,-0.059521721,0.374287616
Georgia,-0.017229081,-0.0570964,-0.027205122,0.016006815,0.233112612,0.218932873,0.245658799,-0.094332468,-0.038431597,-0.10279181,0.390770677,-0.020033213
Guernsey,-0.017513102,0.121765389,-0.004102274,0.016006815,-0.118357292,-0.058187857,-0.0524208,-0.03351965,-0.023558156,-0.063476057,-0.107999285,-0.020009441
Ghana,-0.013805721,0.06485482,-0.008388047,0.016006815,-0.298609442,-0.224186216,-0.216076604,-0.141801183,-0.140190988,-0.216687026,-0.308059733,-0.019878694
Guinea,-0.015987295,0.072984901,-0.020852383,0.016006815,-0.362053551,-0.233836863,-0.228042987,-0.160975573,-0.261446338,-0.063476057,-0.107999285,-0.019997555
Gambia,-0.017677763,0.105505226,-0.02829766,0.016006815,-0.407370771,-0.264564521,-0.245630787,-0.164736618,-0.285697408,-0.207575409,0.035507519,-0.020152074
