location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Bolivia,-0.011906266,0.040454028,-0.018034907,0.013622037,-0.142913438,-0.07428876,-0.058130609,-0.103859672,-0.051802364,-0.052872324,-0.104107394,-0.015867264
Brazil,0.121710082,-0.081497192,0.121535145,0.013622037,0.101799553,-0.00295118,-0.021006994,-0.0417856,0.002734963,0.018579043,-0.153370405,0.138735028
Barbados,-0.014108685,0.089234516,-0.025945333,0.013622037,0.29213188,0.244105372,0.224609971,-0.017062901,0.246811852,-0.168209112,-0.201665859,-0.017471885
Brunei,-0.014068419,0.024193865,-0.025841039,0.013622037,0.068566925,-0.155856025,-0.170058032,0.454504374,0.211943725,-0.165931208,0.031288686,-0.017543201
Bhutan,-0.014159018,-0.00832646,-0.025608896,0.013622037,-0.0462367,-0.144506865,-0.136941763,-0.088183232,0.076047435,-0.052872324,-0.104107394,-0.002413825
Botswana,-0.014152547,0.203055654,-0.024511149,0.013622037,-0.130828845,-0.180947706,-0.177850095,-0.027131277,-0.144784036,-0.081648748,0.081004595,-0.017543201
Central African Republic,-0.014028153,0.072974353,-0.022789409,0.013622037,-0.357414948,-0.191988046,-0.177349177,-0.157393305,-0.087117518,-0.052872324,-0.104107394,-0.002413825
Canada,0.037800977,-0.333529712,7.71701E-05,0.013622037,0.340470248,0.322545828,0.298300626,0.215486416,-0.030345055,0.061859225,-0.171836314,0.045488701
Switzerland,0.007638683,-0.081497192,-0.020132011,0.013622037,0.391829765,0.378596783,0.401100203,0.330667227,-0.109915909,0.303317084,0.002879595,0.001022861
Chile,0.010551514,-0.024586623,-0.0128636,0.013622037,0.159201366,0.094906376,0.083517969,0.032724249,0.018380917,0.567553986,0.181856868,-0.013442502
China,0.046246822,-0.544911826,0.973855572,0.013622037,0.258899251,0.077689623,0.027359456,-0.031419944,0.075600408,-0.168209112,0.279868232,0.037560683
Cote d'Ivoire,-0.012794999,0.040454028,-0.007818127,0.013622037,-0.345330356,-0.219859113,-0.214584107,-0.132110294,-0.251623553,-0.052872324,-0.104107394,-0.017269821
Cameroon,-0.012156492,-0.000196379,-0.007701691,0.013622037,-0.342309208,-0.210903313,-0.195827498,-0.134140664,-0.037944518,-0.052872324,-0.104107394,-0.01593858
Democratic Republic of Congo,-0.013276756,0.032323946,0.036079685,0.013622037,-0.396689873,-0.216500688,-0.20551192,-0.156129974,-0.087117518,-0.052872324,-0.104107394,-0.016960783
Congo,-0.013924611,0.072974353,-0.022311179,0.013622037,-0.336266912,-0.2017545,-0.187812805,-0.121098408,-0.037944518,-0.172764921,0.335265959,-0.017424341
Colombia,-0.004872615,-0.000196379,0.009206967,0.013622037,0.062524629,-0.037925124,-0.062638875,-0.049083021,-0.027215864,-0.104427791,-0.215870405,-0.011505071
Comoros,-0.01415758,0.455088174,-0.02554082,0.013622037,-0.293970839,-0.218701036,-0.206569414,-0.150920253,0.171264243,-0.111261504,-0.072404495,-0.017543201
Cape Verde,-0.013962001,0.113624759,-0.025758705,0.013622037,-0.133849993,-0.160912964,-0.11133927,-0.109564068,-0.251623553,-0.163653304,-0.173256768,-0.017531315
Costa Rica,-0.013583786,-0.000196379,-0.022605747,0.013622037,0.104820701,0.032408789,0.014279921,-0.029559835,0.03268579,-0.065703418,-0.160472677,-0.017471885
Cuba,-0.012868341,0.040454028,-0.018275584,0.013622037,0.391829765,0.235844419,0.238301739,-0.019430832,0.009887399,0.178032346,0.349470505,-0.016616087
Curacao,-0.014158299,0.048584109,-0.026030978,0.013622037,0.349533692,0.298728032,0.257726239,-0.019430832,0.159641534,-0.052872324,-0.104107394,-0.017543201
